d,o,h,l,c
1704791580,46642.0,46642.0,46629.0,46629.0
1704791640,46617.0,46625.0,46617.0,46619.0
1704791700,46601.0,46601.0,46601.0,46601.0
1704791760,46636.0,46693.0,46636.0,46693.0
1704791820,46704.0,46709.0,46699.0,46699.0
1704791880,46699.0,46699.0,46671.0,46673.0
1704791940,46674.0,46674.0,46634.0,46634.0
1704792000,46600.0,46600.0,46538.0,46538.0
1704792060,46538.0,46595.0,46532.0,46585.0
1704792120,46572.0,46572.0,46537.0,46551.0
1704792180,46539.0,46543.0,46533.0,46543.0
1704792240,46558.0,46561.0,46558.0,46560.0
1704792300,46544.0,46560.0,46544.0,46551.0
1704792360,46540.0,46543.0,46454.0,46477.0
1704792420,46528.0,46528.0,46497.0,46497.0
1704792480,46523.0,46523.0,46523.0,46523.0
1704792540,46559.0,46559.0,46548.0,46548.0
1704792600,46553.0,46587.0,46553.0,46577.0
1704792660,46578.0,46578.0,46565.0,46565.0
1704792720,46607.0,46613.0,46599.0,46612.0
1704792780,46611.0,46627.0,46609.0,46615.0
1704792840,46621.0,46621.0,46590.0,46590.0
1704792900,46616.0,46660.0,46616.0,46660.0
1704792960,46659.0,46668.0,46659.0,46668.0
1704793020,46669.0,46671.0,46662.0,46662.0
1704793080,46661.0,46661.0,46658.0,46658.0
1704793140,46657.0,46667.0,46657.0,46667.0
1704793200,46667.0,46671.0,46666.0,46671.0
1704793260,46671.0,46679.0,46659.0,46667.0
1704793320,46673.0,46673.0,46655.0,46667.0
1704793380,46658.0,46658.0,46634.0,46634.0
1704793440,46638.0,46648.0,46636.0,46636.0
1704793500,46604.0,46604.0,46571.0,46571.0
1704793560,46522.0,46532.0,46522.0,46532.0
1704793620,46540.0,46556.0,46533.0,46551.0
1704793680,46547.0,46547.0,46495.0,46495.0
1704793740,46512.0,46535.0,46512.0,46534.0
1704793800,46535.0,46584.0,46535.0,46584.0
1704793860,46594.0,46611.0,46594.0,46611.0
1704793920,46638.0,46638.0,46618.0,46637.0
1704793980,46630.0,46630.0,46623.0,46623.0
1704794040,46610.0,46610.0,46586.0,46607.0
1704794100,46591.0,46591.0,46557.0,46557.0
1704794160,46551.0,46551.0,46524.0,46524.0
1704794220,46523.0,46563.0,46523.0,46544.0
1704794280,46531.0,46531.0,46515.0,46515.0
1704794340,46500.0,46518.0,46497.0,46518.0
1704794400,46504.0,46517.0,46501.0,46501.0
1704794460,46493.0,46571.0,46486.0,46552.0
1704794520,46530.0,46530.0,46517.0,46526.0
1704794580,46531.0,46574.0,46531.0,46574.0
1704794640,46572.0,46597.0,46569.0,46592.0
1704794700,46596.0,46601.0,46565.0,46566.0
1704794760,46556.0,46585.0,46550.0,46585.0
1704794820,46571.0,46597.0,46560.0,46597.0
1704794880,46599.0,46601.0,46592.0,46597.0
1704794940,46597.0,46597.0,46597.0,46597.0
1704795000,46624.0,46631.0,46615.0,46621.0
1704795060,46627.0,46627.0,46606.0,46618.0
1704795120,46608.0,46608.0,46587.0,46592.0
1704795180,46590.0,46597.0,46576.0,46586.0
1704795240,46577.0,46599.0,46577.0,46599.0
1704795300,46625.0,46637.0,46615.0,46637.0
1704795360,46652.0,46654.0,46639.0,46639.0
1704795420,46643.0,46650.0,46643.0,46650.0
1704795480,46645.0,46652.0,46628.0,46649.0
1704795540,46648.0,46661.0,46647.0,46653.0
1704795600,46653.0,46656.0,46647.0,46649.0
1704795660,46662.0,46673.0,46658.0,46672.0
1704795720,46670.0,46676.0,46667.0,46671.0
1704795780,46672.0,46688.0,46672.0,46685.0
1704795840,46688.0,46689.0,46682.0,46682.0
1704795900,46682.0,46684.0,46668.0,46670.0
1704795960,46670.0,46674.0,46668.0,46674.0
1704796020,46670.0,46670.0,46637.0,46637.0
1704796080,46631.0,46642.0,46627.0,46642.0
1704796140,46640.0,46655.0,46640.0,46647.0
1704796200,46672.0,46672.0,46664.0,46664.0
1704796260,46669.0,46669.0,46646.0,46646.0
1704796320,46636.0,46646.0,46629.0,46633.0
1704796380,46617.0,46626.0,46616.0,46617.0
1704796440,46619.0,46619.0,46618.0,46618.0
1704796500,46618.0,46618.0,46596.0,46596.0
1704796560,46586.0,46587.0,46564.0,46564.0
1704796620,46560.0,46581.0,46556.0,46578.0
1704796680,46582.0,46582.0,46568.0,46569.0
1704796740,46578.0,46581.0,46576.0,46581.0
1704796800,46581.0,46621.0,46570.0,46621.0
1704796860,46614.0,46619.0,46597.0,46604.0
1704796920,46609.0,46609.0,46605.0,46605.0
1704796980,46604.0,46604.0,46604.0,46604.0
1704797040,46597.0,46600.0,46597.0,46598.0
1704797100,46594.0,46594.0,46548.0,46548.0
1704797160,46555.0,46569.0,46555.0,46567.0
1704797220,46577.0,46578.0,46558.0,46558.0
1704797280,46537.0,46540.0,46531.0,46531.0
1704797340,46513.0,46513.0,46494.0,46500.0
1704797400,46482.0,46528.0,46470.0,46500.0
1704797460,46518.0,46522.0,46515.0,46522.0
1704797520,46505.0,46505.0,46471.0,46480.0
1704797580,46486.0,46486.0,46428.0,46451.0
1704797640,46457.0,46479.0,46450.0,46477.0
1704797700,46500.0,46500.0,46469.0,46469.0
1704797760,46465.0,46465.0,46462.0,46463.0
1704797820,46459.0,46461.0,46444.0,46444.0
1704797880,46451.0,46475.0,46446.0,46475.0
1704797940,46460.0,46465.0,46458.0,46462.0
1704798000,46462.0,46471.0,46460.0,46463.0
1704798060,46454.0,46500.0,46454.0,46490.0
1704798120,46498.0,46502.0,46485.0,46502.0
1704798180,46509.0,46516.0,46509.0,46516.0
1704798240,46548.0,46548.0,46524.0,46540.0
1704798300,46525.0,46543.0,46525.0,46538.0
1704798360,46532.0,46532.0,46503.0,46503.0
1704798420,46501.0,46508.0,46484.0,46484.0
1704798480,46487.0,46488.0,46476.0,46488.0
1704798540,46479.0,46554.0,46479.0,46554.0
1704798600,46549.0,46575.0,46549.0,46573.0
1704798660,46551.0,46551.0,46539.0,46539.0
1704798720,46541.0,46555.0,46540.0,46542.0
1704798780,46540.0,46556.0,46515.0,46549.0
1704798840,46550.0,46574.0,46550.0,46565.0
1704798900,46571.0,46599.0,46570.0,46581.0
1704798960,46583.0,46600.0,46576.0,46587.0
1704799020,46586.0,46604.0,46580.0,46603.0
1704799080,46601.0,46610.0,46597.0,46598.0
1704799140,46597.0,46597.0,46585.0,46585.0
1704799200,46590.0,46597.0,46586.0,46587.0
1704799260,46587.0,46597.0,46586.0,46596.0
1704799320,46601.0,46625.0,46601.0,46603.0
1704799380,46612.0,46637.0,46610.0,46628.0
1704799440,46621.0,46621.0,46595.0,46595.0
1704799500,46578.0,46591.0,46575.0,46586.0
1704799560,46587.0,46591.0,46579.0,46589.0
1704799620,46606.0,46608.0,46593.0,46595.0
1704799680,46587.0,46587.0,46579.0,46579.0
1704799740,46571.0,46571.0,46562.0,46562.0
1704799800,46561.0,46561.0,46548.0,46558.0
1704799860,46567.0,46581.0,46567.0,46579.0
1704799920,46581.0,46581.0,46572.0,46581.0
1704799980,46582.0,46612.0,46582.0,46612.0
1704800040,46606.0,46624.0,46601.0,46624.0
1704800100,46642.0,46642.0,46605.0,46608.0
1704800160,46619.0,46630.0,46609.0,46609.0
1704800220,46573.0,46573.0,46558.0,46558.0
1704800280,46561.0,46569.0,46558.0,46558.0
1704800340,46540.0,46540.0,46536.0,46536.0
1704800400,46538.0,46539.0,46523.0,46525.0
1704800460,46504.0,46514.0,46488.0,46514.0
1704800520,46499.0,46510.0,46486.0,46490.0
1704800580,46487.0,46507.0,46487.0,46487.0
1704800640,46493.0,46493.0,46493.0,46493.0
1704800700,46498.0,46507.0,46494.0,46506.0
1704800760,46516.0,46516.0,46513.0,46513.0
1704800820,46510.0,46510.0,46482.0,46496.0
1704800880,46508.0,46523.0,46507.0,46523.0
1704800940,46570.0,46595.0,46570.0,46595.0
1704801000,46583.0,46583.0,46574.0,46580.0
1704801060,46595.0,46613.0,46589.0,46589.0
1704801120,46594.0,46610.0,46594.0,46610.0
1704801180,46593.0,46609.0,46581.0,46581.0
1704801240,46587.0,46624.0,46587.0,46624.0
1704801300,46622.0,46637.0,46598.0,46598.0
1704801360,46590.0,46630.0,46590.0,46630.0
1704801420,46620.0,46620.0,46611.0,46611.0
1704801480,46611.0,46656.0,46611.0,46656.0
1704801540,46662.0,46662.0,46662.0,46662.0
1704801600,46641.0,46659.0,46634.0,46655.0
1704801660,46667.0,46688.0,46662.0,46688.0
1704801720,46700.0,46745.0,46700.0,46734.0
1704801780,46740.0,46767.0,46740.0,46767.0
1704801840,46740.0,46740.0,46713.0,46729.0
1704801900,46752.0,46756.0,46713.0,46714.0
1704801960,46711.0,46725.0,46706.0,46709.0
1704802020,46703.0,46703.0,46663.0,46663.0
1704802080,46673.0,46692.0,46663.0,46692.0
1704802140,46687.0,46699.0,46687.0,46699.0
1704802200,46685.0,46725.0,46683.0,46696.0
1704802260,46708.0,46714.0,46708.0,46714.0
1704802320,46708.0,46720.0,46708.0,46720.0
1704802380,46735.0,46747.0,46735.0,46747.0
1704802440,46741.0,46747.0,46741.0,46747.0
1704802500,46739.0,46740.0,46739.0,46740.0
1704802560,46730.0,46730.0,46713.0,46728.0
1704802620,46728.0,46728.0,46728.0,46728.0
1704802680,46768.0,46784.0,46742.0,46742.0
1704802740,46752.0,46752.0,46722.0,46722.0
1704802800,46720.0,46720.0,46701.0,46708.0
1704802860,46703.0,46703.0,46684.0,46684.0
1704802920,46680.0,46700.0,46678.0,46699.0
1704802980,46731.0,46753.0,46715.0,46715.0
1704803040,46716.0,46716.0,46703.0,46703.0
1704803100,46691.0,46719.0,46689.0,46695.0
1704803160,46692.0,46719.0,46692.0,46712.0
1704803220,46710.0,46733.0,46710.0,46733.0
1704803280,46700.0,46708.0,46699.0,46699.0
1704803340,46703.0,46703.0,46687.0,46697.0
1704803400,46685.0,46693.0,46671.0,46671.0
1704803460,46670.0,46670.0,46638.0,46638.0
1704803520,46634.0,46714.0,46634.0,46710.0
1704803580,46721.0,46730.0,46697.0,46701.0
1704803640,46713.0,46713.0,46694.0,46704.0
1704803700,46706.0,46706.0,46696.0,46697.0
